"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1018.8","...","1021.2","2017-01-01 08:34","1016.8","2017-01-01 15:33","19.4","23.7","2017-01-01 12:57","15.4","2017-01-01 05:11","...","89","69","2017-01-01 11:46","1.8","7","9.0","3","2017-01-01 13:09","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"02","1018.0","...","1020.3","2017-01-02 09:12","1016.0","2017-01-02 16:01","20.2","23.3","2017-01-02 10:41","17.9","2017-01-02 23:57","...","88","74","2017-01-02 10:29","1.9","11","7.8","352","2017-01-02 13:08","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"03","1017.2","...","1019.6","2017-01-03 09:12","1015.3","2017-01-03 14:52","19.9","23.6","2017-01-03 11:02","16.3","2017-01-03 06:31","...","87","74","2017-01-03 12:22","2.7","18","9.6","5","2017-01-03 12:13","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","1016.1","...","1018.1","2017-01-04 09:31","1014.4","2017-01-04 14:11","20.5","23.6","2017-01-04 12:31","18.2","2017-01-04 02:31","...","89","78","2017-01-04 12:31","2.1","12","6.4","351","2017-01-04 10:53","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","1015.1","...","1016.9","2017-01-05 10:01","1013.4","2017-01-05 14:22","20.1","25.0","2017-01-05 11:06","17.5","2017-01-05 23:22","...","88","69","2017-01-05 11:11","1.3","358","5.0","343","2017-01-05 15:33","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"06","1014.0","...","1015.8","2017-01-06 08:52","1012.1","2017-01-06 16:23","20.0","23.7","2017-01-06 12:05","17.6","2017-01-06 01:13","...","91","75","2017-01-06 12:07","2.4","6","7.8","26","2017-01-06 15:46","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"07","1012.0","...","1014.0","2017-01-07 09:21","1010.2","2017-01-07 14:03","20.3","24.1","2017-01-07 13:01","18.8","2017-01-07 23:51","...","90","74","2017-01-07 13:11","1.4","343","5.2","345","2017-01-07 09:21","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"08","1011.4","...","1013.7","2017-01-08 09:28","1008.7","2017-01-08 15:11","20.2","24.2","2017-01-08 12:42","18.1","2017-01-08 23:56","...","86","75","2017-01-08 11:44","2.8","11","11.5","12","2017-01-08 16:22","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"09","1013.8","...","1015.9","2017-01-09 23:21","1011.8","2017-01-09 02:32","18.6","22.9","2017-01-09 11:01","15.9","2017-01-09 23:55","...","75","60","2017-01-09 10:47","4.6","19","14.8","19","2017-01-09 13:45","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"10","1016.4","...","1018.7","2017-01-10 09:01","1014.4","2017-01-10 14:41","18.3","22.2","2017-01-10 13:25","15.3","2017-01-10 01:51","...","72","60","2017-01-10 11:31","3.5","11","9.2","9","2017-01-10 10:43","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"11","1016.0","...","1018.2","2017-01-11 09:23","1013.3","2017-01-11 14:51","19.4","24.3","2017-01-11 12:51","16.5","2017-01-11 05:51","...","79","64","2017-01-11 12:51","3.2","12","11.5","13","2017-01-11 15:28","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"12","1013.6","...","1016.0","2017-01-12 00:01","1011.2","2017-01-12 14:59","19.1","21.9","2017-01-12 11:31","17.7","2017-01-12 18:30","...","88","78","2017-01-12 08:57","3.3","9","10.3","9","2017-01-12 15:42","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"13","1012.9","...","1014.6","2017-01-13 21:41","1011.5","2017-01-13 13:06","17.2","19.3","2017-01-13 00:33","15.1","2017-01-13 21:51","...","84","74","2017-01-13 12:01","4.3","20","12.5","32","2017-01-13 18:20","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"14","1015.3","...","1017.5","2017-01-14 21:51","1013.1","2017-01-14 00:43","15.4","19.1","2017-01-14 14:21","12.6","2017-01-14 07:54","...","79","66","2017-01-14 14:25","5.1","26","13.6","23","2017-01-14 07:25","2.0","...","...","","...","","...","...","...","...","...","...","","..."
"15","1017.5","...","1019.6","2017-01-15 09:11","1015.8","2017-01-15 04:27","15.7","19.2","2017-01-15 14:31","14.3","2017-01-15 03:42","...","76","64","2017-01-15 14:41","3.2","16","9.0","20","2017-01-15 18:05","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"16","1017.8","...","1019.1","2017-01-16 09:11","1015.3","2017-01-16 15:26","16.0","20.0","2017-01-16 14:55","13.6","2017-01-16 23:13","...","77","61","2017-01-16 15:15","3.4","28","10.5","36","2017-01-16 06:45","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"17","1019.3","...","1021.2","2017-01-17 09:46","1017.5","2017-01-17 15:14","18.1","21.7","2017-01-17 11:16","14.2","2017-01-17 01:11","...","80","64","2017-01-17 11:24","3.0","2","9.6","10","2017-01-17 13:53","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"18","1019.9","...","1022.2","2017-01-18 09:11","1018.0","2017-01-18 14:22","18.8","21.6","2017-01-18 12:23","17.0","2017-01-18 03:43","...","88","78","2017-01-18 13:21","3.2","8","8.4","1","2017-01-18 15:08","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"19","1018.5","...","1020.7","2017-01-19 09:21","1016.0","2017-01-19 14:01","19.5","24.0","2017-01-19 13:54","17.8","2017-01-19 23:39","...","85","71","2017-01-19 13:57","3.4","6","9.7","7","2017-01-19 15:37","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"20","1019.8","...","1021.6","2017-01-20 09:51","1018.0","2017-01-20 14:32","15.4","18.3","2017-01-20 11:07","12.2","2017-01-20 19:43","...","74","63","2017-01-20 13:54","6.8","23","15.5","17","2017-01-20 12:40","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"21","1022.3","...","1024.7","2017-01-21 09:33","1020.4","2017-01-21 15:10","14.6","19.4","2017-01-21 13:27","12.4","2017-01-21 00:12","...","70","59","2017-01-21 13:22","4.8","23","12.1","6","2017-01-21 14:02","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"22","1022.7","...","1025.3","2017-01-22 09:03","1019.7","2017-01-22 15:35","15.4","18.8","2017-01-22 13:54","13.3","2017-01-22 23:42","...","63","52","2017-01-22 11:42","5.2","26","14.5","27","2017-01-22 15:10","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"23","1022.6","...","1024.5","2017-01-23 10:42","1020.9","2017-01-23 14:22","15.6","20.3","2017-01-23 13:21","12.9","2017-01-23 03:54","...","63","52","2017-01-23 12:12","2.7","22","9.6","6","2017-01-23 16:40","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"24","1023.4","...","1024.7","2017-01-24 09:23","1021.6","2017-01-24 15:42","16.1","19.2","2017-01-24 12:13","14.1","2017-01-24 01:51","...","72","65","2017-01-24 12:31","2.8","13","8.6","355","2017-01-24 16:54","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"25","1022.9","...","1024.7","2017-01-25 00:21","1021.0","2017-01-25 14:28","16.2","20.0","2017-01-25 13:31","14.5","2017-01-25 04:31","...","75","65","2017-01-25 12:32","4.2","19","12.4","1","2017-01-25 15:19","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"26","1021.0","...","1023.1","2017-01-26 00:02","1017.8","2017-01-26 14:32","16.4","20.4","2017-01-26 12:51","13.9","2017-01-26 05:01","...","71","56","2017-01-26 12:43","3.9","26","12.9","7","2017-01-26 12:06","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"27","1020.3","...","1023.1","2017-01-27 08:31","1018.2","2017-01-27 14:57","16.2","20.8","2017-01-27 13:22","11.2","2017-01-27 06:21","...","82","67","2017-01-27 12:36","2.7","13","9.8","354","2017-01-27 11:21","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"28","1016.6","...","1018.7","2017-01-28 01:12","1014.1","2017-01-28 15:27","17.6","22.4","2017-01-28 12:28","12.9","2017-01-28 03:35","...","86","70","2017-01-28 11:15","2.7","27","8.3","347","2017-01-28 14:59","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"29","1015.9","...","1018.2","2017-01-29 09:34","1013.6","2017-01-29 14:52","19.7","27.4","2017-01-29 15:11","17.0","2017-01-29 00:11","...","85","44","2017-01-29 15:11","2.1","356","6.7","318","2017-01-29 15:53","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"30","1016.0","...","1017.5","2017-01-30 08:50","1013.7","2017-01-30 14:08","18.6","22.7","2017-01-30 09:33","15.0","2017-01-30 23:31","...","80","72","2017-01-30 13:52","4.9","14","17.9","7","2017-01-30 14:30","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"31","1017.2","...","1019.1","2017-01-31 09:48","1015.3","2017-01-31 15:19","17.0","19.5","2017-01-31 12:36","14.6","2017-01-31 01:53","...","79","70","2017-01-31 10:22","4.6","17","11.5","18","2017-01-31 11:16","0.0","...","...","","...","","...","...","...","...","...","...","","...""ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1018.5","...","1019.9","2017-02-01 09:13","1016.8","2017-02-01 14:57","17.6","19.8","2017-02-01 13:51","15.3","2017-02-01 23:24","...","81","71","2017-02-01 13:51","5.2","15","13.9","18","2017-02-01 12:27","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"02","1019.5","...","1021.8","2017-02-02 09:01","1017.5","2017-02-02 14:43","16.4","18.8","2017-02-02 11:43","14.6","2017-02-02 23:52","...","74","68","2017-02-02 15:04","4.5","25","13.3","4","2017-02-02 13:37","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"03","1017.8","...","1020.1","2017-02-03 09:13","1015.6","2017-02-03 14:21","17.4","21.1","2017-02-03 11:41","14.4","2017-02-03 04:25","...","80","66","2017-02-03 10:22","2.9","360","9.2","6","2017-02-03 16:11","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","1014.2","...","1017.7","2017-02-04 00:04","1011.5","2017-02-04 15:01","18.0","21.2","2017-02-04 12:32","17.0","2017-02-04 22:31","...","88","76","2017-02-04 12:41","2.1","12","6.1","327","2017-02-04 14:24","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","1011.5","...","1013.7","2017-02-05 08:13","1009.3","2017-02-05 17:35","18.3","22.7","2017-02-05 11:57","16.6","2017-02-05 06:52","...","86","68","2017-02-05 11:51","3.8","17","13.9","360","2017-02-05 19:08","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"06","1012.9","...","1015.3","2017-02-06 09:41","1010.5","2017-02-06 03:44","18.0","21.6","2017-02-06 11:55","15.9","2017-02-06 22:04","...","72","60","2017-02-06 12:01","5.1","12","15.4","9","2017-02-06 09:46","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"07","1014.6","...","1016.9","2017-02-07 09:22","1013.0","2017-02-07 16:12","17.7","21.1","2017-02-07 12:11","15.8","2017-02-07 01:04","...","69","55","2017-02-07 11:21","3.0","12","10.9","13","2017-02-07 16:12","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"08","1014.3","...","1016.0","2017-02-08 23:12","1013.1","2017-02-08 04:21","17.6","22.4","2017-02-08 10:51","15.5","2017-02-08 02:32","...","81","64","2017-02-08 10:52","3.0","1","11.3","38","2017-02-08 23:43","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"09","1016.5","...","1018.5","2017-02-09 10:03","1014.6","2017-02-09 03:23","13.4","16.8","2017-02-09 11:51","11.2","2017-02-09 19:04","...","66","45","2017-02-09 21:44","5.3","25","13.5","24","2017-02-09 00:43","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"10","1019.0","...","1021.3","2017-02-10 23:12","1016.3","2017-02-10 04:02","12.3","15.4","2017-02-10 10:32","10.0","2017-02-10 04:32","...","56","47","2017-02-10 10:32","3.6","23","11.9","32","2017-02-10 02:53","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"11","1022.2","...","1024.1","2017-02-11 09:42","1020.1","2017-02-11 02:41","12.9","16.6","2017-02-11 14:11","11.3","2017-02-11 22:23","...","55","44","2017-02-11 12:21","2.7","23","8.7","1","2017-02-11 15:29","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"12","1023.2","...","1025.0","2017-02-12 09:25","1021.5","2017-02-12 14:40","14.7","19.3","2017-02-12 13:23","11.2","2017-02-12 02:31","...","64","48","2017-02-12 10:35","2.8","7","12.5","352","2017-02-12 14:47","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"13","1024.3","...","1026.0","2017-02-13 09:51","1022.6","2017-02-13 15:42","16.3","20.9","2017-02-13 11:57","12.8","2017-02-13 06:07","...","68","53","2017-02-13 11:57","2.7","7","11.0","6","2017-02-13 14:47","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"14","1025.8","...","1027.8","2017-02-14 09:45","1024.1","2017-02-14 16:21","16.4","21.7","2017-02-14 11:45","13.1","2017-02-14 01:47","...","69","50","2017-02-14 11:45","2.7","32","10.3","360","2017-02-14 13:38","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"15","1024.1","...","1026.5","2017-02-15 10:34","1022.1","2017-02-15 23:25","15.4","20.2","2017-02-15 10:06","10.7","2017-02-15 05:41","...","82","61","2017-02-15 09:52","1.7","5","7.7","2","2017-02-15 14:43","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"16","1020.0","...","1022.2","2017-02-16 00:01","1018.2","2017-02-16 14:41","17.1","23.3","2017-02-16 14:11","12.7","2017-02-16 06:43","...","80","51","2017-02-16 14:02","1.3","343","5.6","336","2017-02-16 11:30","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"17","1019.3","...","1021.3","2017-02-17 10:11","1018.0","2017-02-17 15:31","19.1","26.2","2017-02-17 12:51","12.8","2017-02-17 05:53","...","72","39","2017-02-17 10:51","1.4","343","5.3","337","2017-02-17 14:46","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"18","1019.6","...","1021.6","2017-02-18 08:32","1017.4","2017-02-18 15:04","18.0","21.2","2017-02-18 11:26","16.6","2017-02-18 23:02","...","85","72","2017-02-18 11:32","4.3","11","11.4","4","2017-02-18 13:03","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"19","1015.8","...","1018.8","2017-02-19 00:01","1012.8","2017-02-19 23:51","18.1","23.4","2017-02-19 11:15","14.2","2017-02-19 06:55","...","82","66","2017-02-19 11:01","1.6","21","5.8","333","2017-02-19 13:27","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"20","1013.1","...","1015.2","2017-02-20 21:51","1011.7","2017-02-20 15:24","21.4","28.5","2017-02-20 11:41","16.8","2017-02-20 00:45","...","77","50","2017-02-20 11:31","2.1","28","11.9","5","2017-02-20 22:59","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"21","1015.6","...","1017.8","2017-02-21 10:51","1013.8","2017-02-21 15:01","19.6","23.2","2017-02-21 12:21","17.8","2017-02-21 23:33","...","83","67","2017-02-21 09:55","4.7","8","12.0","1","2017-02-21 12:14","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"22","1013.7","...","1015.6","2017-02-22 05:36","1010.8","2017-02-22 16:35","19.9","24.3","2017-02-22 10:11","16.8","2017-02-22 06:32","...","91","67","2017-02-22 10:17","2.0","21","7.6","23","2017-02-22 06:08","12.0","...","...","","...","","...","...","...","...","...","...","","..."
"23","1014.9","...","1018.4","2017-02-23 23:01","1012.8","2017-02-23 03:51","17.6","22.4","2017-02-23 10:21","12.2","2017-02-23 21:43","...","87","74","2017-02-23 13:16","5.0","15","15.9","22","2017-02-23 14:41","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"24","1018.8","...","1020.6","2017-02-24 10:32","1016.6","2017-02-24 04:22","13.2","14.5","2017-02-24 09:01","11.7","2017-02-24 17:11","...","84","78","2017-02-24 13:02","4.4","28","11.7","30","2017-02-24 19:41","1.0","...","...","","...","","...","...","...","...","...","...","","..."
"25","1017.0","...","1019.4","2017-02-25 00:24","1014.6","2017-02-25 15:44","14.2","15.5","2017-02-25 12:01","12.6","2017-02-25 00:04","...","87","81","2017-02-25 16:11","3.7","31","8.3","19","2017-02-25 14:50","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"26","1018.1","...","1020.1","2017-02-26 08:51","1015.9","2017-02-26 02:08","14.0","16.0","2017-02-26 13:31","13.1","2017-02-26 23:51","...","81","73","2017-02-26 11:44","4.3","25","11.9","32","2017-02-26 16:03","4.0","...","...","","...","","...","...","...","...","...","...","","..."
"27","1018.9","...","1020.4","2017-02-27 10:13","1017.4","2017-02-27 03:12","15.9","20.4","2017-02-27 12:43","13.2","2017-02-27 00:02","...","70","55","2017-02-27 12:43","3.2","25","10.0","8","2017-02-27 13:31","0.0","...","...","","...","","...","...","...","...","...","...","","..."
