"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1001.8","...","1004.4","2017-07-01 19:05","1000.0","2017-07-01 15:59","27.7","33.0","2017-07-01 12:15","24.1","2017-07-01 17:30","...","77","55","2017-07-01 10:34","1.9","97","9.5","147","2017-07-01 17:33","24.5","...","...","","...","","...","...","...","...","...","...","","..."
"02","1001.8","...","1003.1","2017-07-02 22:13","1000.3","2017-07-02 15:28","27.6","33.4","2017-07-02 10:43","24.3","2017-07-02 02:47","...","78","52","2017-07-02 11:04","1.9","152","8.2","258","2017-07-02 13:53","8.0","...","...","","...","","...","...","...","...","...","...","","..."
"03","1001.5","...","1003.7","2017-07-03 22:06","1000.0","2017-07-03 16:57","28.7","32.1","2017-07-03 13:06","25.3","2017-07-03 02:08","...","74","59","2017-07-03 17:13","1.9","274","8.7","269","2017-07-03 13:09","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","1003.4","...","1004.6","2017-07-04 19:35","1001.7","2017-07-04 02:47","27.8","33.0","2017-07-04 13:51","24.4","2017-07-04 20:11","...","76","57","2017-07-04 09:33","1.8","121","11.1","156","2017-07-04 15:05","6.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","1004.9","...","1006.2","2017-07-05 22:15","1003.1","2017-07-05 17:53","28.0","32.4","2017-07-05 11:17","24.0","2017-07-05 04:53","...","75","57","2017-07-05 12:48","1.3","84","6.7","149","2017-07-05 15:59","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"06","1004.1","...","1005.6","2017-07-06 00:01","1002.3","2017-07-06 16:03","28.1","32.0","2017-07-06 13:15","25.4","2017-07-06 03:38","...","78","65","2017-07-06 13:15","1.8","354","9.3","14","2017-07-06 13:56","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"07","1004.8","...","1007.1","2017-07-07 22:46","1003.2","2017-07-07 13:59","27.0","33.4","2017-07-07 14:00","24.3","2017-07-07 17:17","...","77","52","2017-07-07 12:13","1.6","17","10.7","202","2017-07-07 15:40","6.0","...","...","","...","","...","...","...","...","...","...","","..."
"08","1004.9","...","1006.4","2017-07-08 00:01","1003.1","2017-07-08 16:21","27.7","32.3","2017-07-08 12:11","24.3","2017-07-08 05:23","...","77","57","2017-07-08 09:17","1.7","136","9.0","191","2017-07-08 18:21","7.5","...","...","","...","","...","...","...","...","...","...","","..."
"09","1003.9","...","1006.1","2017-07-09 00:06","1002.2","2017-07-09 15:59","28.5","32.4","2017-07-09 12:48","24.5","2017-07-09 05:43","...","77","59","2017-07-09 09:10","1.9","171","9.9","294","2017-07-09 13:05","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"10","1002.3","...","1003.9","2017-07-10 22:24","1001.2","2017-07-10 15:30","29.3","32.5","2017-07-10 11:59","27.0","2017-07-10 05:46","...","77","60","2017-07-10 09:45","2.4","235","11.6","273","2017-07-10 14:23","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"11","1004.2","...","1006.6","2017-07-11 22:17","1002.3","2017-07-11 02:48","28.9","32.8","2017-07-11 10:52","26.4","2017-07-11 05:44","...","76","59","2017-07-11 13:22","1.8","75","9.3","270","2017-07-11 12:15","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"12","1005.1","...","1006.1","2017-07-12 11:23","1003.7","2017-07-12 17:07","29.5","32.4","2017-07-12 13:35","26.0","2017-07-12 03:29","...","72","58","2017-07-12 14:03","1.9","173","7.4","266","2017-07-12 11:05","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"13","1003.0","...","1004.6","2017-07-14 00:00","1001.1","2017-07-13 17:09","29.7","33.3","2017-07-13 13:47","26.6","2017-07-13 05:36","...","70","51","2017-07-13 13:50","1.8","272","7.3","308","2017-07-13 13:19","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"14","1002.6","...","1003.8","2017-07-14 22:06","1001.3","2017-07-14 16:14","29.1","32.3","2017-07-14 14:49","26.2","2017-07-14 23:16","...","74","58","2017-07-14 12:53","1.5","290","7.4","252","2017-07-14 13:43","6.5","...","...","","...","","...","...","...","...","...","...","","..."
"15","1003.0","...","1004.0","2017-07-15 22:14","1001.3","2017-07-15 15:57","29.0","32.3","2017-07-15 14:13","26.4","2017-07-15 01:29","...","77","59","2017-07-15 15:52","1.8","20","8.9","10","2017-07-15 12:35","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"16","1003.4","...","1004.8","2017-07-16 21:24","1001.1","2017-07-16 16:00","29.2","32.6","2017-07-16 11:45","26.2","2017-07-16 05:15","...","74","56","2017-07-16 12:28","1.7","298","6.2","301","2017-07-16 13:57","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"17","1005.4","...","1007.1","2017-07-17 22:20","1003.6","2017-07-17 02:14","29.2","33.2","2017-07-17 10:36","26.6","2017-07-17 05:39","...","75","55","2017-07-17 10:36","1.1","283","6.0","300","2017-07-17 15:17","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"18","1005.8","...","1007.2","2017-07-18 08:02","1003.8","2017-07-18 17:12","29.8","33.8","2017-07-18 13:56","27.1","2017-07-18 05:35","...","76","60","2017-07-18 13:56","1.3","23","7.5","330","2017-07-18 13:43","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"19","1003.4","...","1006.2","2017-07-20 00:00","1001.5","2017-07-19 18:00","29.3","32.8","2017-07-19 15:28","26.0","2017-07-19 05:58","...","73","55","2017-07-19 15:25","1.6","190","8.6","321","2017-07-19 13:40","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"20","1002.8","...","1003.9","2017-07-20 22:08","1001.3","2017-07-20 17:02","29.5","33.2","2017-07-20 10:30","26.6","2017-07-20 05:36","...","70","49","2017-07-20 14:52","1.7","298","7.5","299","2017-07-20 12:30","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"21","1003.3","...","1004.9","2017-07-21 08:59","1001.9","2017-07-21 17:36","29.5","33.2","2017-07-21 11:38","26.0","2017-07-21 04:26","...","69","48","2017-07-21 10:56","1.2","332","6.2","4","2017-07-21 12:29","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"22","1002.1","...","1003.6","2017-07-22 06:15","1000.2","2017-07-22 16:10","29.5","33.7","2017-07-22 14:18","26.4","2017-07-22 06:02","...","72","56","2017-07-22 09:47","1.5","172","6.5","260","2017-07-22 15:48","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"23","1000.8","...","1001.9","2017-07-23 00:01","999.8","2017-07-23 17:21","30.0","33.1","2017-07-23 12:45","27.3","2017-07-23 05:47","...","74","59","2017-07-23 18:21","2.1","74","9.9","262","2017-07-23 11:31","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"24","999.4","...","1000.9","2017-07-24 08:24","997.4","2017-07-24 16:18","29.3","32.9","2017-07-24 13:56","26.9","2017-07-24 04:42","...","76","64","2017-07-24 13:56","2.2","289","6.9","269","2017-07-24 13:08","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"25","998.6","...","999.6","2017-07-25 22:09","997.2","2017-07-25 16:37","29.5","33.1","2017-07-25 12:17","26.6","2017-07-25 03:41","...","72","53","2017-07-25 12:15","1.8","153","7.5","256","2017-07-25 13:40","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"26","998.2","...","999.2","2017-07-26 00:32","997.2","2017-07-26 18:48","29.1","33.0","2017-07-26 13:04","26.5","2017-07-26 23:47","...","75","56","2017-07-26 10:37","1.4","92","6.9","272","2017-07-26 11:06","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"27","998.1","...","998.3","2017-07-27 21:51","996.5","2017-07-27 16:52","28.7","30.2","2017-07-27 18:16","-37.0","2017-07-27 15:59","...","76","5","2017-07-27 15:59","1.3","147","6.2","323","2017-07-27 16:22","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"28","995.6","...","998.0","2017-07-28 00:05","992.7","2017-07-28 17:53","30.2","34.8","2017-07-28 13:55","26.1","2017-07-28 03:46","...","70","52","2017-07-28 10:45","2.0","29","11.1","64","2017-07-28 18:23","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"29","986.5","...","994.3","2017-07-29 00:15","966.9","2017-07-29 21:54","29.1","32.9","2017-07-29 12:35","25.0","2017-07-29 23:43","...","73","55","2017-07-29 09:48","4.2","52","26.7","342","2017-07-29 20:56","25.5","...","...","","...","","...","...","...","...","...","...","","..."
"30","985.8","...","989.5","2017-07-30 10:47","974.3","2017-07-30 00:04","28.4","32.5","2017-07-30 11:38","25.2","2017-07-31 00:00","...","79","61","2017-07-30 11:40","2.7","197","19.1","189","2017-07-30 00:46","6.5","...","...","","...","","...","...","...","...","...","...","","..."
"31","991.6","...","995.8","2017-07-31 21:10","984.9","2017-07-31 00:07","26.5","29.4","2017-07-31 23:13","24.7","2017-07-31 05:48","...","85","68","2017-07-31 23:12","1.6","195","8.9","222","2017-07-31 22:57","15.5","...","...","","...","","...","...","...","...","...","...","","..."
