date,pure_peak_ability,peak_load,backup_power,backup_rate,industry_use,general_use
20170101,24957,22886,2071,9.05,268.503,196.229
20170102,26035,24483,1552,6.34,280.534,205.022
20170103,29152,28131,1021,3.63,320.449,234.193
20170104,29757,28485,1272,4.47,329.623,240.898
20170105,30065,28336,1729,6.1,330.137,241.273
20170106,29154,28002,1152,4.12,330.589,241.603
20170107,27814,25600,2214,8.65,306.516,224.01
20170108,25977,24133,1844,7.64,283.998,207.554
20170109,29377,27670,1707,6.17,315.17,230.335
20170110,29039,27787,1252,4.51,322.524,235.71
20170111,29590,27992,1598,5.71,325.791,238.098
20170112,29488,28186,1302,4.62,329.116,240.527
20170113,29140,27161,1979,7.29,325.652,237.996
20170114,26637,24726,1911,7.73,297.082,217.116
20170115,25518,24156,1362,5.64,281.042,205.394
20170116,28878,27370,1508,5.51,314.013,229.489
20170117,29076,27768,1308,4.71,325.097,237.59
20170118,29608,27768,1840,6.63,327.192,239.121
20170119,30109,27768,2341,8.43,327.982,239.698
20170120,29081,26889,2192,8.15,322.404,235.621
20170121,26836,24905,1931,7.75,299.903,219.178
20170122,25721,24230,1491,6.15,282.438,206.413
20170123,28830,26943,1887,7,313.076,228.804
20170124,28354,26779,1575,5.88,320.292,234.078
20170125,28220,25905,2315,8.94,310.395,226.846
20170126,25419,23012,2407,10.46,283.805,207.412
20170127,22511,20214,2297,11.36,243.423,177.9
20170128,22565,19672,2893,14.71,230.95,168.784
20170129,22378,19906,2472,12.42,233.093,170.35
20170130,22735,20118,2617,13.01,237.237,173.379
20170131,23924,21188,2736,12.91,244.939,179.009
20170201,25162,22191,2971,13.39,258.806,189.535
20170202,27057,24722,2335,9.45,289.089,211.714
20170203,27221,25592,1629,6.37,304.543,223.031
20170204,26421,24355,2066,8.49,293.56,214.988
20170205,26319,23414,2905,12.41,278.986,204.314
20170206,29010,26414,2596,9.83,310.075,227.082
20170207,28631,26899,1732,6.44,320.057,234.392
20170208,28810,27120,1690,6.23,324.007,237.285
