"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1006.3","...","1008.8","2018-12-01 08:41","1004.6","2018-12-01 15:43","22.1","27.3","2018-12-01 14:24","17.5","2018-12-01 05:16","...","71","46","2018-12-01 11:45","0.3","114","3.3","101","2018-12-01 23:58","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"02","1004.4","...","1005.8","2018-12-02 22:38","1002.1","2018-12-02 13:47","22.6","29.5","2018-12-02 14:41","17.8","2018-12-02 06:21","...","70","39","2018-12-02 14:47","0.2","104","3.2","111","2018-12-02 00:02","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"03","1005.0","...","1006.9","2018-12-03 09:14","1003.3","2018-12-03 15:19","22.2","28.6","2018-12-03 14:06","17.9","2018-12-03 06:41","...","71","36","2018-12-03 11:33","0.2","97","3.0","285","2018-12-03 13:08","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","1005.3","...","1006.9","2018-12-04 09:21","1003.3","2018-12-04 15:12","23.1","29.4","2018-12-04 14:32","17.5","2018-12-04 06:01","...","71","52","2018-12-04 10:48","0.2","90","4.6","80","2018-12-04 22:24","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","1005.1","...","1008.0","2018-12-05 09:08","1002.6","2018-12-05 23:57","21.9","23.3","2018-12-05 09:42","21.0","2018-12-05 05:36","...","79","72","2018-12-05 09:42","1.4","115","8.3","82","2018-12-05 15:59","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"06","1004.3","...","1006.8","2018-12-07 00:00","1001.9","2018-12-06 14:33","22.7","27.9","2018-12-06 13:07","20.1","2018-12-06 04:42","...","80","61","2018-12-06 11:08","0.2","90","4.0","140","2018-12-06 15:49","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"07","1009.8","...","1011.9","2018-12-07 22:28","1006.8","2018-12-07 00:01","18.5","21.2","2018-12-08 00:00","17.2","2018-12-07 07:36","...","83","69","2018-12-07 11:47","0.9","118","7.3","130","2018-12-07 13:14","3.5","...","...","","...","","...","...","...","...","...","...","","..."
"08","1011.1","...","1013.0","2018-12-08 09:20","1009.2","2018-12-08 14:54","18.0","20.5","2018-12-08 11:42","16.5","2018-12-08 05:42","...","80","68","2018-12-08 11:42","1.3","118","8.5","138","2018-12-08 14:23","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"09","1010.2","...","1012.7","2018-12-09 09:30","1008.1","2018-12-09 16:14","17.8","19.3","2018-12-09 12:57","16.0","2018-12-09 05:51","...","85","77","2018-12-09 13:45","1.1","120","8.9","89","2018-12-09 09:10","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"10","1006.5","...","1008.7","2018-12-10 09:32","1004.5","2018-12-10 23:50","19.9","21.2","2018-12-10 09:45","18.0","2018-12-10 03:31","...","91","85","2018-12-10 15:52","0.3","113","3.9","140","2018-12-10 23:27","1.5","...","...","","...","","...","...","...","...","...","...","","..."
"11","1007.5","...","1011.8","2018-12-11 23:49","1004.3","2018-12-11 00:34","18.9","20.7","2018-12-11 07:57","15.4","2018-12-11 23:52","...","89","82","2018-12-11 14:18","0.3","126","4.6","133","2018-12-11 17:32","1.0","...","...","","...","","...","...","...","...","...","...","","..."
"12","1013.3","...","1015.2","2018-12-12 08:41","1011.6","2018-12-12 00:06","15.1","16.8","2018-12-12 10:21","14.2","2018-12-12 05:01","...","83","76","2018-12-12 10:22","0.6","116","5.5","127","2018-12-12 23:31","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"13","1012.7","...","1014.2","2018-12-13 08:41","1010.3","2018-12-13 13:41","16.7","20.2","2018-12-13 12:18","14.3","2018-12-13 00:01","...","83","67","2018-12-13 12:20","1.1","117","8.9","97","2018-12-13 12:22","1.0","...","...","","...","","...","...","...","...","...","...","","..."
"14","1013.5","...","1015.2","2018-12-14 08:25","1012.1","2018-12-14 14:31","17.3","19.4","2018-12-14 11:48","15.8","2018-12-14 06:01","...","85","74","2018-12-14 13:54","1.4","116","7.7","94","2018-12-14 13:20","1.5","...","...","","...","","...","...","...","...","...","...","","..."
